Title,Author,Series,Series_No,Original_Publication_Year,Genres,Length_Pages,ISBN,Publisher,Notes,Cover_Link
The Girl with the Dragon Tattoo,Stieg Larsson,Millennium,1.0,2005.0,Crime; Thriller; Mystery,,,,,https://covers.openlibrary.org/b/id/11005892-L.jpg
The Girl Who Played with Fire,Stieg Larsson,Millennium,2.0,2006.0,Crime; Thriller; Mystery,,,,,https://covers.openlibrary.org/b/id/10639656-L.jpg
The Girl Who Kicked the Hornets' Nest,Stieg Larsson,Millennium,3.0,2007.0,Crime; Thriller; Mystery,,,,,https://covers.openlibrary.org/b/id/6581441-L.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter,1.0,1997.0,Fantasy; Young Adult,,,,Also published as 'Philosopher's Stone' outside U.S.,https://covers.openlibrary.org/b/id/276518-L.jpg
Harry Potter and the Chamber of Secrets,J.K. Rowling,Harry Potter,2.0,1998.0,Fantasy; Young Adult,,,,,https://covers.openlibrary.org/b/id/8392798-L.jpg
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Harry Potter,3.0,1999.0,Fantasy; Young Adult,,,,,https://covers.openlibrary.org/b/id/10580435-L.jpg
Harry Potter and the Goblet of Fire,J.K. Rowling,Harry Potter,4.0,2000.0,Fantasy; Young Adult,,,,,https://covers.openlibrary.org/b/id/12059372-L.jpg
Harry Potter and the Order of the Phoenix,J.K. Rowling,Harry Potter,5.0,2003.0,Fantasy; Young Adult,,,,,https://covers.openlibrary.org/b/id/10523466-L.jpg
Harry Potter and the Half-Blood Prince,J.K. Rowling,Harry Potter,6.0,2005.0,Fantasy; Young Adult,,,,,https://covers.openlibrary.org/b/id/10716273-L.jpg
Harry Potter and the Deathly Hallows,J.K. Rowling,Harry Potter,7.0,2007.0,Fantasy; Young Adult,,,,,https://covers.openlibrary.org/b/id/10110415-L.jpg
Crime and Punishment,Fyodor Dostoevsky,,,1866.0,Classic; Psychological; Philosophical,,,,,https://covers.openlibrary.org/b/id/14911181-L.jpg
The Stranger,Albert Camus,,,1942.0,Classic; Philosophical; Existentialism,,,,Also published as 'The Outsider' in some regions.,
The Fellowship of the Ring,J.R.R. Tolkien,The Lord of the Rings,1.0,1954.0,Fantasy; Epic,,,,,https://covers.openlibrary.org/b/id/14627060-L.jpg
The Two Towers,J.R.R. Tolkien,The Lord of the Rings,2.0,1954.0,Fantasy; Epic,,,,,https://covers.openlibrary.org/b/id/14627564-L.jpg
The Return of the King,J.R.R. Tolkien,The Lord of the Rings,3.0,1955.0,Fantasy; Epic,,,,,https://covers.openlibrary.org/b/id/14627062-L.jpg
The Hobbit,J.R.R. Tolkien,,,1937.0,Fantasy; Adventure,,,,,https://covers.openlibrary.org/b/id/14627509-L.jpg
The Thursday Murder Club,Richard Osman,The Thursday Murder Club,1.0,2020.0,Mystery; Cozy,,,,,https://covers.openlibrary.org/b/id/10201431-L.jpg
The Man Who Died Twice,Richard Osman,The Thursday Murder Club,2.0,2021.0,Mystery; Cozy,,,,,https://covers.openlibrary.org/b/id/12002504-L.jpg
The Bullet That Missed,Richard Osman,The Thursday Murder Club,3.0,2022.0,Mystery; Cozy,,,,,https://covers.openlibrary.org/b/id/13722183-L.jpg
The Last Devil to Die,Richard Osman,The Thursday Murder Club,4.0,2023.0,Mystery; Cozy,,,,,https://covers.openlibrary.org/b/id/13603213-L.jpg
The Mysterious Affair at Styles,Agatha Christie,Hercule Poirot,1.0,1920.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/13699667-L.jpg
The Murder on the Links,Agatha Christie,Hercule Poirot,2.0,1923.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14582832-L.jpg
The Murder of Roger Ackroyd,Agatha Christie,Hercule Poirot,4.0,1926.0,Mystery; Crime,,,,Novel order counting excludes the short story collection 'Poirot Investigates' (1924).,https://covers.openlibrary.org/b/id/13151356-L.jpg
The Big Four,Agatha Christie,Hercule Poirot,5.0,1927.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/12996529-L.jpg
The Mystery of the Blue Train,Agatha Christie,Hercule Poirot,6.0,1928.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14575533-L.jpg
Peril at End House,Agatha Christie,Hercule Poirot,7.0,1932.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/12996556-L.jpg
Lord Edgware Dies,Agatha Christie,Hercule Poirot,8.0,1933.0,Mystery; Crime,,,,Also published as 'Thirteen at Dinner'.,https://covers.openlibrary.org/b/id/9492111-L.jpg
Three Act Tragedy,Agatha Christie,Hercule Poirot,9.0,1934.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14591411-L.jpg
Death in the Clouds,Agatha Christie,Hercule Poirot,10.0,1935.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/11433305-L.jpg
A Gentleman in Moscow,Amor Towles,,,2016.0,Historical; Literary,,,,,https://covers.openlibrary.org/b/id/11326818-L.jpg
Nineteen Eighty-Four,George Orwell,,,1949.0,Dystopian; Political,,,,Often stylized as '1984'.,https://covers.openlibrary.org/b/id/9267242-L.jpg
We Solve Murders,Richard Osman,We Solve Murders,1.0,,Mystery; Crime,,,,First book in a newer Osman series; year varies by region/edition.,https://covers.openlibrary.org/b/id/14835264-L.jpg
The A.B.C. Murders,Agatha Christie,Hercule Poirot,11.0,1936.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14573514-L.jpg
Murder in Mesopotamia,Agatha Christie,Hercule Poirot,12.0,1936.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/12855104-L.jpg
Cards on the Table,Agatha Christie,Hercule Poirot,13.0,1936.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/6469172-L.jpg
Death on the Nile,Agatha Christie,Hercule Poirot,14.0,1937.0,Mystery; Crime,,,,,https://covers.openlibrary.org/b/id/14066646-L.jpg
The Templar Legacy,Steve Berry,Cotton Malone,1.0,2006.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/1185578-L.jpg
The Alexandria Link,Steve Berry,Cotton Malone,2.0,2007.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/6604696-L.jpg
The Venetian Betrayal,Steve Berry,Cotton Malone,3.0,2007.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/1185498-L.jpg
The Charlemagne Pursuit,Steve Berry,Cotton Malone,4.0,2008.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/10312950-L.jpg
The Paris Vendetta,Steve Berry,Cotton Malone,5.0,2009.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/7830266-L.jpg
The Emperor's Tomb,Steve Berry,Cotton Malone,6.0,2010.0,Thriller; Adventure; Mystery,,,,,https://covers.openlibrary.org/b/id/10251215-L.jpg
Storm Front,Jim Butcher,The Dresden Files,1.0,2000.0,Urban Fantasy; Mystery,,,,,https://covers.openlibrary.org/b/id/6414916-L.jpg
Fool Moon,Jim Butcher,The Dresden Files,2.0,2001.0,Urban Fantasy; Mystery,,,,,https://covers.openlibrary.org/b/id/2701529-L.jpg
Killing Floor,Lee Child,Jack Reacher,1.0,1997.0,Thriller; Crime,,,,,https://covers.openlibrary.org/b/id/14425084-L.jpg
Die Trying,Lee Child,Jack Reacher,2.0,1998.0,Thriller; Crime,,,,,https://covers.openlibrary.org/b/id/14424757-L.jpg
War and Peace,Leo Tolstoy,,,1869.0,Classic; Historical; Literary,,,,,https://covers.openlibrary.org/b/id/12621906-L.jpg
Murder at the Fitzwilliam,Jim Eldridge,Museum Mysteries (Daniel Wilson),1.0,2018.0,Historical Mystery,,,,,https://covers.openlibrary.org/b/id/10192527-L.jpg
